speciesKey,decimalLatitude,decimalLongitude,eventDate,year,month,day,country,stateProvince,locality,basisOfRecord,individualCount
7,50.48489008475124,14.487874368019876,2004-09-18,2019,4,15,Poland,Pomerania,Location 0,HUMAN_OBSERVATION,4
4,53.21135439916192,14.38782285202204,2018-07-23,2020,6,22,Poland,Lesser Poland,Location 1,HUMAN_OBSERVATION,9
8,52.439184850501164,21.61131402631475,2005-06-18,2020,9,3,Poland,Greater Poland,Location 2,HUMAN_OBSERVATION,4
5,49.592833452506156,20.722162448877544,2005-04-12,2021,5,28,Poland,Mazovia,Location 3,MACHINE_OBSERVATION,3
7,54.32875302911233,22.181731692901394,2018-11-02,2002,12,21,Poland,Greater Poland,Location 4,HUMAN_OBSERVATION,2
10,53.5824908953197,15.07474884631862,2016-11-11,2004,4,20,Poland,Mazovia,Location 5,MACHINE_OBSERVATION,5
3,49.1335311077683,14.362822843762594,2020-02-02,2015,8,5,Poland,Silesia,Location 6,OBSERVATION,4
7,52.777929823731824,19.1875087523653,2022-08-13,2017,9,24,Poland,Lesser Poland,Location 7,OBSERVATION,8
8,53.47323067741448,17.95347136112425,2009-08-04,2016,4,8,Poland,Silesia,Location 8,MACHINE_OBSERVATION,7
5,51.17172514437845,18.71185875404375,2014-01-11,2010,3,22,Poland,Silesia,Location 9,OBSERVATION,6
4,49.399744928329866,24.114201770476797,2006-01-27,2016,8,1,Poland,Mazovia,Location 10,OBSERVATION,2
8,49.44846217983497,23.901649568240835,2019-08-18,2015,5,8,Poland,Greater Poland,Location 11,HUMAN_OBSERVATION,3
8,49.604632403100496,23.611616974666568,2021-06-12,2022,2,24,Poland,Pomerania,Location 12,HUMAN_OBSERVATION,9
3,53.87454986548645,21.995195303030272,2008-05-10,2001,10,18,Poland,Mazovia,Location 13,HUMAN_OBSERVATION,9
6,54.28197994988313,17.61938187462028,2003-05-28,2003,9,20,Poland,Pomerania,Location 14,MACHINE_OBSERVATION,5
5,49.71230253470526,18.20373548868027,2009-11-21,2020,3,28,Poland,Silesia,Location 15,MACHINE_OBSERVATION,3
2,50.36825500065147,19.60608364593303,2023-10-28,2006,12,16,Poland,Pomerania,Location 16,OBSERVATION,2
8,49.96001896013028,22.471451455329365,2007-02-23,2001,2,18,Poland,Greater Poland,Location 17,HUMAN_OBSERVATION,8
6,50.0806611010659,14.700870891686332,2007-11-22,2005,1,20,Poland,Mazovia,Location 18,MACHINE_OBSERVATION,6
2,53.85744657621445,18.32782823602586,2004-11-25,2016,8,12,Poland,Greater Poland,Location 19,MACHINE_OBSERVATION,7
5,50.926449193398646,14.84270016728454,2002-12-13,2006,11,13,Poland,Greater Poland,Location 20,HUMAN_OBSERVATION,1
1,50.80637673146472,19.249507383049817,2012-10-04,2004,3,13,Poland,Mazovia,Location 21,MACHINE_OBSERVATION,1
10,50.31889460108725,23.168788404863598,2008-06-24,2004,7,10,Poland,Greater Poland,Location 22,HUMAN_OBSERVATION,2
6,52.5257874840067,21.981346230552166,2022-11-02,2019,1,7,Poland,Lesser Poland,Location 23,OBSERVATION,3
9,51.19997305063618,16.323992658939723,2018-01-25,2015,1,25,Poland,Lesser Poland,Location 24,OBSERVATION,1
1,53.31664798069107,23.95510666590768,2006-01-03,2018,12,14,Poland,Lesser Poland,Location 25,OBSERVATION,5
10,50.1923628885787,20.806974060073568,2019-04-21,2008,9,24,Poland,Pomerania,Location 26,HUMAN_OBSERVATION,3
3,53.56918135454406,14.106362533853511,2002-03-17,2004,12,16,Poland,Greater Poland,Location 27,MACHINE_OBSERVATION,1
7,52.501584884034806,16.605217543789237,2006-11-26,2007,8,15,Poland,Mazovia,Location 28,OBSERVATION,8
4,49.66275034032299,16.659275659183148,2013-01-18,2008,12,12,Poland,Mazovia,Location 29,OBSERVATION,6
9,51.40412658838104,14.70639392411577,2012-04-20,2004,3,9,Poland,Pomerania,Location 30,OBSERVATION,9
3,54.00840521555515,23.790230484374476,2020-11-18,2009,6,8,Poland,Mazovia,Location 31,MACHINE_OBSERVATION,3
5,54.35316934443121,18.878204004674423,2003-01-18,2001,11,18,Poland,Lesser Poland,Location 32,MACHINE_OBSERVATION,9
3,51.701060709449116,23.137308893193193,2000-10-26,2008,3,23,Poland,Greater Poland,Location 33,HUMAN_OBSERVATION,9
7,51.788854472916626,17.286598135135208,2012-04-20,2010,12,18,Poland,Mazovia,Location 34,OBSERVATION,1
5,54.327037404647946,15.277382418414836,2022-10-27,2003,4,13,Poland,Mazovia,Location 35,MACHINE_OBSERVATION,3
9,52.404995699992085,18.83822832104338,2010-09-09,2021,1,28,Poland,Silesia,Location 36,HUMAN_OBSERVATION,6
7,49.190510687411944,15.162357674086035,2004-10-01,2021,5,27,Poland,Silesia,Location 37,OBSERVATION,8
2,54.29394688469895,18.957358130370906,2016-06-02,2021,1,18,Poland,Silesia,Location 38,MACHINE_OBSERVATION,4
4,50.43971336799148,23.387031248437957,2023-09-04,2001,1,15,Poland,Greater Poland,Location 39,MACHINE_OBSERVATION,5
9,52.350265333730974,19.31183504670897,2004-11-24,2022,10,4,Poland,Lesser Poland,Location 40,HUMAN_OBSERVATION,9
2,49.95997724108225,20.28829721432985,2018-05-03,2005,11,17,Poland,Lesser Poland,Location 41,OBSERVATION,6
10,49.19649912943025,15.597712057132844,2011-10-19,2013,11,5,Poland,Lesser Poland,Location 42,OBSERVATION,7
9,50.80654439256999,14.44610338397569,2018-12-07,2000,7,22,Poland,Greater Poland,Location 43,MACHINE_OBSERVATION,7
10,53.52687510376731,15.130241214234031,2014-07-07,2017,12,16,Poland,Greater Poland,Location 44,OBSERVATION,4
5,50.61000560125063,20.105022071980528,2007-05-21,2006,6,9,Poland,Silesia,Location 45,HUMAN_OBSERVATION,4
